pheno,dataset,sample_size,resample_seed,perfeat,kfold_seed,leakage_type,r,q2,r_yp,r_gold
age,abcd,300,3,0.05,9,leak_covars,0.02610909666703875,-0.11729445448713594,0.8978690148561722,0.08524013333665566
age,abcd,200,2,0.05,6,leak_covars,0.10876376512103016,-0.10927138432280925,0.9172643232620552,0.11046974278024997
mr,abcd,400,5,0.05,9,leak_covars,0.001161629391581871,-0.19352691384940668,0.8552298654601127,0.03257507344959173
mr,pnc,200,8,0.05,3,leak_covars,0.2723517280978836,0.04940509124322656,0.9113583422101149,0.31530555710832914
age,hcpd,400,9,0.05,4,leak_covars,0.7426300361013871,0.5494345976602456,0.9706850758373459,0.7733535703010022
age,pnc,200,6,0.05,9,leak_covars,0.4860738815992529,0.2343547624598259,0.8981497122124663,0.5774806815376795
mr,hbn,100,4,0.05,9,leak_covars,0.03870729289594965,-0.01747597984673277,0.8942638322027605,0.11854957724529025
age,hbn,300,1,0.05,7,leak_covars,0.6734172543278512,0.44836744470765366,0.9924327714031288,0.6829297766510343
mr,pnc,400,2,0.05,8,leak_covars,0.14868660452394292,-0.08397699862640784,0.8726694501598309,0.20426982985620065
age,abcd,400,1,0.05,7,leak_covars,0.16537197716482113,-0.026605937740118213,0.9766306077144893,0.16450650774627085
attn,abcd,300,7,0.05,8,leak_covars,-0.07018513690087948,-0.15945696453332237,0.9123406399649384,-0.01741385178001858
mr,pnc,400,4,0.05,6,leak_covars,0.12579546628498064,-0.0859791179513838,0.9294927609499262,0.2029005552516055
mr,pnc,100,2,0.05,2,leak_covars,0.10300468421286654,-0.10904908829597848,0.822080382938326,0.07980298671792549
age,abcd,200,3,0.05,5,leak_covars,-0.07307791191840886,-0.1924468961341501,0.808601893123023,0.010099779239113092
mr,abcd,200,0,0.05,5,leak_covars,-0.1674652822790534,-0.11772864040834019,0.8598931383736269,-0.15082805969431248
attn,hcpd,300,3,0.05,6,leak_covars,-0.048753832266451365,-0.26541935411861317,0.8749331160302479,-0.0580388132862609
age,pnc,100,3,0.05,2,leak_covars,0.4088664606930432,0.16678236627727727,0.9732781737041456,0.4059321538103982
attn,hcpd,300,3,0.05,7,leak_covars,-0.06392807232336907,-0.23526641172292417,0.8682881146222297,-0.024800883003662528
attn,pnc,100,9,0.05,5,leak_covars,-0.2986217966309725,-0.1962821474660097,0.7432518611110591,-0.3165041536248219
mr,abcd,100,8,0.05,3,leak_covars,-0.09969118489724751,-0.09740118127237318,0.7608022233815732,-0.029079485924155917
age,hcpd,300,0,0.05,9,leak_covars,0.7126461516282633,0.5022699082677178,0.9931778256962069,0.729211019631123
age,hbn,100,5,0.05,0,leak_covars,0.47825946843085565,0.22821551330031387,0.9269228848540727,0.48611399251629744
age,abcd,300,1,0.05,1,leak_covars,0.144911071834002,-0.06924485487458898,0.9486637134129421,0.15332566449789878
attn,hcpd,400,1,0.05,9,leak_covars,-0.033174749622878814,-0.26802004176390937,0.8194836821970917,0.020891986790996332
attn,abcd,300,2,0.05,2,leak_covars,0.1598806629332891,-0.032513106839817674,0.9877512444917668,0.16887212259197795
mr,hcpd,400,0,0.05,8,leak_covars,0.17866509971734376,-0.021243654759377062,0.9509583140936231,0.26284039829479766
age,hbn,300,3,0.05,8,leak_covars,0.6488292959770691,0.41847783987460396,0.9861727074661495,0.6684055625352175
mr,hcpd,200,1,0.05,8,leak_covars,0.1822070273451952,-0.007158072078768285,0.9165928598646423,0.3070183298838751
age,hbn,300,7,0.05,7,leak_covars,0.6324925173966419,0.39850208418779176,0.9764946000662948,0.6513276713072486
mr,abcd,400,5,0.05,1,leak_covars,-0.0017115684286764482,-0.1631617814605526,0.9092780948264734,0.061881005391964644
mr,hcpd,100,9,0.05,6,leak_covars,0.12166021494496339,-0.033467803249833894,0.8656502435459938,0.21826560530653097
age,pnc,300,9,0.05,2,leak_covars,0.4908062175815965,0.2397880717026799,0.9842062834485984,0.5191104263852656
age,abcd,100,8,0.05,1,leak_covars,0.005961788053345998,-0.06834115938176888,0.9736425319867982,-0.015100107850803731
mr,hbn,400,2,0.05,6,leak_covars,0.040961055841556474,-0.10050704852895653,0.8520115562534587,0.20513220947984212
age,pnc,100,7,0.05,6,leak_covars,0.5136198260212118,0.26243324241853694,0.8695709173471773,0.514864455840279
attn,abcd,400,4,0.05,0,leak_covars,0.05667693555055904,-0.12785079796136856,0.9567925113102498,0.09704623132784947
age,hbn,100,1,0.05,0,leak_covars,0.4690533348334256,0.2199709518089764,0.9332831133493654,0.4790357817467319
mr,hcpd,100,8,0.05,9,leak_covars,-0.004749428034414952,-0.13674187626659307,0.7525455667351919,0.19507135219851324
age,pnc,100,2,0.05,0,leak_covars,0.333851273007765,0.11004962376872762,0.8512838189579035,0.49240881950632354
mr,hcpd,300,1,0.05,7,leak_covars,0.22364964175013438,0.0068827010700726055,0.9564252596464189,0.3230414518805656
mr,abcd,100,0,0.05,2,leak_covars,-0.2974376134077719,-0.1617650317596273,0.7400687664143019,-0.2668435006528286
attn,hbn,100,3,0.05,2,leak_covars,-0.1450685744000707,-0.0788992222297975,0.7989354276083513,-0.021669664126874846
mr,pnc,400,0,0.05,1,leak_covars,0.14973524354801923,-0.05303177316999452,0.9334629791761654,0.20389324805170228
attn,abcd,400,5,0.05,3,leak_covars,0.10509360398504994,-0.08787351770429574,0.9332315501959604,0.11970998462903538
age,hbn,300,8,0.05,6,leak_covars,0.6292593108453586,0.39434824346936304,0.9672769600742575,0.6802900933843169
age,hbn,400,9,0.05,6,leak_covars,0.6960316349503723,0.4829035269801183,0.9963558936925483,0.6988394696714484
mr,hbn,200,1,0.05,5,leak_covars,-0.02493797893209029,-0.16733148678075915,0.7520882429494555,0.1843790988614566
attn,abcd,100,4,0.05,0,leak_covars,-0.050948305777509285,-0.07787709892496308,0.8856745219686325,0.11389133540388022
mr,hcpd,300,8,0.05,0,leak_covars,0.17574409923651985,-0.0283807901595714,0.9366026591155001,0.29650964462399293
attn,pnc,100,9,0.05,4,leak_covars,-0.30363127056119404,-0.19221520135085557,0.6968923360645727,-0.2726554220837364
attn,hcpd,100,3,0.05,0,leak_covars,0.03601188520361119,-0.0755622992880689,0.7907653452687583,0.02680666538154916
age,pnc,100,2,0.05,3,leak_covars,0.37436247803418177,0.13970519194698983,0.8184831248319732,0.42335491544318005
age,hcpd,100,7,0.05,5,leak_covars,0.38698661995616357,0.14340048864034494,0.9310140633022675,0.5073469930682986
age,pnc,400,9,0.05,8,leak_covars,0.5192061414936375,0.26807660568539493,0.9885107182125658,0.5215525253151369
mr,hcpd,400,9,0.05,9,leak_covars,0.21875508752915931,0.008719255255478009,0.9469649909574381,0.30624422930685885
mr,hcpd,400,7,0.05,6,leak_covars,0.20962425397069157,0.0019808753938989065,0.9447488757592002,0.3060003665533749
attn,hbn,400,6,0.05,8,leak_covars,-0.01711129682248011,-0.1573703444593857,0.8677021751508853,0.01941414964653393
age,pnc,200,3,0.05,9,leak_covars,0.3727733874729482,0.13187307146769944,0.9680444210861104,0.3819062463288844
age,abcd,100,0,0.05,2,leak_covars,-0.012703773451198195,-0.06049906855907072,0.9628200408469184,-0.07149434271145574
